ID,kindom,phylum,class,order,family,genus,species
OTU6215,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,
OTU6216,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,,
OTU6217,Bacteria,Acidobacteria,Sva0725,Sva0725,,,
OTU6218,Bacteria,Bacteroidetes,[Saprospirae],[Saprospirales],Chitinophagaceae,,
OTU6219,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,koreensis
OTU6220,Bacteria,Verrucomicrobia,[Pedosphaerae],[Pedosphaerales],,,
OTU6221,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhodobiaceae,Afifella,
OTU6222,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Hyphomicrobium,
OTU6223,Bacteria,Acidobacteria,[Chloracidobacteria],RB41,,,
OTU6224,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,,
OTU6225,Bacteria,OP8,OP8_1,,,,
OTU6226,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,,,
OTU6227,Bacteria,Cyanobacteria,Chloroplast,Streptophyta,,,
OTU6228,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Koribacteraceae,Candidatus Koribacter,
OTU6229,Bacteria,Acidobacteria,Solibacteres,Solibacterales,,,
OTU6230,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,RB40,,
OTU6231,Bacteria,Planctomycetes,Planctomycetia,Pirellulales,Pirellulaceae,,
OTU6232,Bacteria,Planctomycetes,Planctomycetia,Pirellulales,Pirellulaceae,,
OTU6233,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,,,
OTU6234,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Ensifer,adhaerens
OTU6235,Bacteria,Cyanobacteria,Oscillatoriophycideae,Oscillatoriales,Phormidiaceae,Phormidium,
OTU6236,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Hymenobacter,
OTU6237,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,,,
OTU6238,Bacteria,Planctomycetes,Planctomycetia,Gemmatales,Gemmataceae,,
OTU6239,Bacteria,Chloroflexi,TK10,AKYG885,5B-12,,
OTU6240,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,,
OTU6241,Bacteria,Bacteroidetes,[Saprospirae],[Saprospirales],Chitinophagaceae,Segetibacter,
OTU6242,Bacteria,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophaceae,Syntrophus,
OTU6243,Bacteria,Planctomycetes,Planctomycetia,Pirellulales,Pirellulaceae,,
OTU6244,Bacteria,Chloroflexi,Chloroflexi,AKIW781,,,
OTU6245,Bacteria,Planctomycetes,Planctomycetia,Gemmatales,Gemmataceae,,
OTU6246,Bacteria,Acidobacteria,EC1113,,,,
OTU6247,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,,
OTU6248,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Rhodoplanes,
OTU6249,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,,,
OTU6250,Bacteria,Acidobacteria,DA052,Ellin6513,,,
OTU6251,Bacteria,Bacteroidetes,[Saprospirae],[Saprospirales],Chitinophagaceae,Flavisolibacter,
OTU6252,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,,
OTU6253,Bacteria,Armatimonadetes,[Fimbriimonadia],[Fimbriimonadales],[Fimbriimonadaceae],Fimbriimonas,
OTU6254,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Delftia,
OTU6255,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio,
OTU6256,Bacteria,Verrucomicrobia,[Pedosphaerae],[Pedosphaerales],,,
OTU6257,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,,
OTU6258,Bacteria,Verrucomicrobia,[Spartobacteria],[Chthoniobacterales],[Chthoniobacteraceae],DA101,
OTU6259,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,
OTU6260,Bacteria,Verrucomicrobia,[Spartobacteria],[Chthoniobacterales],[Chthoniobacteraceae],DA101,
OTU6261,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,
OTU6262,Bacteria,Acidobacteria,[Chloracidobacteria],RB41,Ellin6075,,
OTU6263,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,,
OTU6264,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Nannocystaceae,Plesiocystis,
OTU6265,Bacteria,Proteobacteria,Betaproteobacteria,SC-I-84,,,
OTU6266,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,
OTU6267,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
OTU6268,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,,,
OTU6269,Bacteria,Firmicutes,Clostridia,Clostridiales,Gracilibacteraceae,Gracilibacter,
OTU6270,Bacteria,TM7,SC3,,,,
OTU6271,Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,,
OTU6272,Bacteria,Cyanobacteria,Nostocophycideae,Nostocales,Nostocaceae,,
OTU6273,Bacteria,Planctomycetes,Planctomycetia,Gemmatales,Isosphaeraceae,,
OTU6274,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,,,
OTU6275,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,,
OTU6276,Bacteria,Proteobacteria,Gammaproteobacteria,,,,
OTU6277,Bacteria,Verrucomicrobia,[Spartobacteria],[Chthoniobacterales],[Chthoniobacteraceae],,
OTU6278,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Koribacteraceae,,
OTU6279,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,,
OTU6280,Bacteria,Acidobacteria,[Chloracidobacteria],,,,
OTU6281,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
OTU6282,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,
OTU6283,Bacteria,Acidobacteria,Solibacteres,JH-WHS99,,,
