ID,M-1,M-2,M-3,M-4,M-5,M-6,M-7,M-8,M-9,M-10,M-11,M-12,M-13,G-1,G-2,G-3,G-4,G-5,G-6,G-7,G-8,G-9,G-10,G-11,G-12,G-13,G-14,G-15,G-16,G-19,G-20,G-21,G-22,G-23,G-24,G-25
OTU6143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
OTU6144,1,0,0,2,0,0,0,1,0,3,0,2,0,0,0,2,1,3,1,0,2,0,0,4,4,0,0,4,1,1,0,2,0,1,4,4
OTU6145,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU6146,1,0,0,2,0,0,0,2,0,7,1,13,0,0,0,5,3,0,0,1,2,4,0,1,3,0,0,3,0,1,1,5,0,0,0,0
OTU6147,2,3,54,63,31,13,1,0,1,13,5,20,22,28,4,66,69,14,24,30,25,19,55,53,25,2,11,52,39,14,46,61,52,36,34,35
OTU6148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
OTU6149,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU6150,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU6151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
OTU6152,14,1,1,1,0,2,0,0,0,14,12,16,3,7,2,1,5,0,11,5,5,6,10,8,35,5,4,8,4,4,12,8,3,0,2,2
OTU6153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU6154,0,2,0,0,0,0,2,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,10,0,0,0,0,0,0,1,0,3
OTU6155,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,1,0,0,0,0,0,0
OTU6156,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
OTU6157,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU6158,3,0,0,1,0,0,0,0,0,1,0,4,0,2,0,0,0,0,1,0,1,3,1,2,0,0,0,1,0,1,0,1,1,0,0,2
OTU6159,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1
OTU6160,0,0,1,0,4,2,0,0,0,1,0,0,2,1,0,0,1,0,2,0,0,0,1,1,0,0,1,0,0,1,1,0,0,1,1,0
OTU6161,3,1,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,1,0,1,0,0,2,0,1,0,0,4,2,1,0,0,0
OTU6162,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0
OTU6163,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,5,0
OTU6164,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU6165,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU6166,2,1,0,0,1,0,1,3,1,0,0,0,0,2,0,0,3,3,0,1,1,0,0,3,1,5,3,4,1,1,0,2,5,5,3,4
OTU6167,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
OTU6168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0
OTU6169,0,4,3,0,1,2,0,0,1,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,1,0,5,2,0,0,0,9,0,0,0
OTU6170,37,7,1,2,0,0,17,6,3,4,0,8,0,3,2,0,4,1,0,1,1,0,5,13,15,6,0,4,1,0,2,6,9,2,3,10
OTU6171,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,2,4,0,0,0,1
OTU6172,2,0,7,2,1,2,0,1,0,0,0,5,0,0,2,4,21,8,18,1,7,3,12,4,0,1,5,4,4,1,4,1,10,14,7,1
OTU6173,1,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,4
OTU6174,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
OTU6175,0,0,0,0,0,0,0,0,0,0,9,5,0,0,0,1,1,0,0,0,0,0,0,1,9,0,0,0,0,0,2,0,0,0,0,0
